tx_price,sqft,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,median_school,num_schools,tx_year
305000,902,167,7,23,29,340,12,113,51,43,64,72,258,10,3,2005
200000,914,95,18,19,18,92,6,49,21,52,33,53,180,3,3,2007
371500,917,71,13,5,13,31,12,48,28,32,43,63,319,5,3,2013
270000,920,33,5,4,5,29,2,21,17,34,66,72,168,8,3,2005
318000,926,145,7,20,20,83,11,49,73,34,32,49,230,7,3,2008
408400,933,102,8,8,11,103,4,47,34,31,30,99,310,8,3,2005
325000,934,121,11,10,15,109,13,59,44,52,42,63,180,7,3,2005
239000,945,21,3,1,5,28,3,9,13,48,40,59,184,7,1,2007
367500,950,192,7,34,37,194,10,61,33,45,32,79,345,6,3,2006
378000,961,54,8,6,3,48,16,37,44,33,35,72,280,6,3,2013
269000,966,110,12,10,14,102,12,60,44,52,42,63,241,7,3,2006
245000,999,88,17,18,18,88,6,47,25,59,54,57,163,3,3,2007
225000,1005,66,10,5,10,23,6,49,14,56,24,66,184,5,3,2014
302000,1014,101,8,8,11,70,4,30,23,33,48,85,284,4,3,2011
387900,1050,102,8,8,11,103,4,47,34,31,30,99,310,8,3,2005
560000,1092,194,6,35,39,193,10,63,35,46,37,90,489,6,3,2007
750000,1322,266,10,53,47,320,35,122,94,28,52,72,666,8,3,2012
299700,814,75,11,10,8,91,5,53,40,45,60,71,321,9,3,2012
779900,1207,164,11,32,31,107,12,62,64,36,25,75,612,8,3,2014
379000,1489,37,6,5,4,45,10,24,25,39,41,83,258,6,3,2007
225000,768,8,1,0,3,9,2,10,9,35,29,73,192,4,3,2006
230000,793,10,1,0,4,10,2,10,10,35,29,73,196,4,3,2004
328000,800,74,15,13,11,51,18,44,42,33,35,87,219,6,3,2005
407800,803,198,9,38,25,127,11,72,83,36,25,91,309,9,3,2005
470630,814,146,7,22,20,79,10,49,73,27,21,94,313,9,3,2006
270000,816,43,9,4,6,24,0,21,11,38,63,46,340,5,3,2015
359500,835,38,9,5,4,51,9,32,29,31,58,93,282,4,3,2009
355000,836,56,7,9,6,64,6,40,41,36,36,90,265,9,3,2012
283000,845,148,12,20,13,88,13,65,49,44,20,74,182,7,3,2006
378000,864,70,9,14,13,59,5,35,45,35,47,32,319,4,3,2015
255000,870,5,0,0,0,5,0,0,5,32,64,57,242,7,3,2007
306000,875,51,8,6,2,40,18,33,40,36,49,77,228,6,3,2012
369900,891,124,12,10,15,111,12,65,41,32,32,88,294,7,3,2006
326000,893,114,9,10,16,101,10,60,41,32,32,88,303,7,3,2011
350000,900,51,8,7,4,53,18,37,43,36,37,80,240,4,3,2005
350000,900,51,8,7,4,53,18,37,43,36,37,80,240,4,3,2005
396875,912,189,13,37,31,102,11,75,64,28,15,86,250,8,3,2005
374900,912,51,8,6,2,40,18,33,40,36,49,77,266,6,3,2005
232150,920,65,9,9,4,55,17,44,44,36,37,80,240,4,3,2003
327000,924,50,7,2,6,52,4,37,37,34,34,66,235,9,3,2008
455900,928,107,9,30,19,89,6,47,58,33,65,84,345,9,3,2013
290000,930,51,9,6,2,45,18,32,42,36,49,77,244,6,3,2006
301000,930,92,8,7,9,47,5,45,17,31,74,59,204,8,3,2005
275000,930,6,2,0,0,4,0,4,1,36,62,63,233,7.5,2,2004
531000,931,193,14,42,28,114,11,93,89,33,40,96,414,5,3,2011
405000,945,32,6,3,7,27,2,22,12,38,64,73,457,8,3,2012
336000,950,42,6,7,4,50,14,31,31,39,21,89,276,4,3,2014
214000,952,129,8,22,25,318,7,102,34,36,42,67,202,8,3,2010
327500,958,65,8,9,4,55,17,44,42,39,21,89,234,4,3,2010
251489,959,1,0,0,0,4,0,0,0,43,60,36,176,5,3,2010
238900,960,72,9,8,9,100,10,97,25,40,68,73,195,9,3,2013
297000,960,173,11,38,30,106,10,73,72,32,24,82,262,5,3,2007
235000,960,69,6,5,8,40,4,44,15,30,50,45,204,6,3,2014
210000,960,6,2,0,0,4,0,4,1,36,62,63,216,7.5,2,2012
215000,966,96,11,12,7,38,8,39,34,36,40,81,147,4,3,2010
285000,966,109,12,10,14,103,12,60,44,52,42,63,258,7,3,2013
239900,976,95,6,10,6,42,2,51,24,32,83,31,200,5,3,2006
375500,983,194,6,35,39,193,10,63,35,46,37,90,298,6,3,2013
415000,993,194,6,35,39,193,10,63,35,46,37,90,336,6,3,2006
230581,996,72,3,10,10,136,7,46,23,35,89,59,164,7,3,2007
400000,1008,19,1,3,0,8,1,7,6,41,62,85,254,6,2,2006
420000,1010,40,8,5,4,50,14,32,33,31,58,93,295,4,3,2005
292000,1011,96,11,12,7,38,8,39,34,36,40,81,149,4,3,2005
200000,1015,185,8,31,32,284,33,173,81,38,56,55,353,2,3,2003
226000,1021,48,7,2,6,52,5,36,35,34,34,66,201,9,3,2010
220000,1024,76,7,19,14,39,7,32,33,44,40,28,228,3,3,2011
280000,1032,128,11,29,25,184,15,68,41,57,13,83,208,6,3,2009
299900,1032,76,16,12,11,90,5,29,22,40,50,55,154,3,3,2006
204000,1044,48,7,2,6,52,5,36,35,34,34,66,201,9,3,2015
350000,1062,43,7,6,2,23,18,28,42,33,35,87,267,6,3,2007
228000,1070,34,2,0,3,25,6,13,20,47,51,77,184,7,3,2014
300000,1073,21,3,1,5,13,3,11,12,43,22,67,179,7,3,2005
280000,1083,132,9,13,15,79,9,49,49,55,23,42,190,5,3,2014
305500,1100,212,14,43,33,146,9,84,86,33,62,81,303,9,3,2008
348500,1103,48,12,6,2,48,19,41,41,36,23,90,252,6,3,2009
210000,1177,78,18,15,15,70,6,45,30,45,47,54,220,3,3,2001
250000,1179,103,24,17,15,95,7,46,22,29,53,36,143,3,3,2006
229000,1185,0,0,0,0,4,0,0,1,43,60,36,198,5,3,2002
300000,1188,29,7,3,3,36,1,23,15,34,68,36,255,2,3,2009
220000,1194,88,17,18,18,88,6,47,25,59,54,57,188,3,3,2014
275000,1197,22,2,1,5,10,3,11,11,28,80,22,231,5,3,2013
312000,1200,8,1,0,3,9,2,10,9,35,29,73,295,4,3,2012
265000,1240,67,4,4,11,162,3,40,24,35,50,66,261,7,3,2013
265000,1240,67,4,4,11,162,3,40,24,35,50,66,261,7,3,2013
231525,1242,33,4,3,5,24,2,22,17,37,50,63,225,8,3,2012
239900,1250,39,15,7,4,35,0,11,7,35,44,80,217,4,3,2007
305000,1288,82,16,16,17,73,6,46,25,59,54,57,233,3,3,2005
337600,1296,28,7,3,3,33,1,23,15,34,68,36,259,2,3,2005
248000,1344,144,8,28,26,260,26,145,59,52,66,81,475,4,3,1994
336900,1346,35,5,4,5,23,2,21,13,34,36,86,217,8,3,2007
225000,1350,141,7,28,26,259,25,146,58,52,66,81,515,4,3,2000
585000,1360,187,13,41,34,102,12,75,73,29,29,83,446,8,3,2013
205000,1526,4,1,0,0,1,0,5,5,29,88,73,242,8,1,2012
330000,832,61,9,9,12,65,7,41,42,37,41,53,372,4,3,2009
250000,864,82,8,20,19,64,5,36,43,35,47,32,375,4,3,2008
200000,877,201,11,40,28,131,10,73,85,36,25,91,378,9,3,2012
286499,886,19,3,1,5,28,3,9,13,48,40,59,195,7,1,2005
237500,886,19,3,1,5,28,3,9,13,48,40,59,198,7,1,2014
261000,896,17,5,1,4,30,2,21,7,41,62,41,307,4,3,2009
277000,899,75,3,8,12,82,9,37,34,56,25,67,269,7,3,2009
425000,910,60,10,4,7,61,5,42,30,39,86,81,468,9,3,2008
385000,915,146,8,16,20,74,11,49,58,30,46,41,265,7,3,2006
275000,930,27,6,1,3,22,5,23,15,35,55,73,286,5,3,2008
275000,933,80,7,7,7,42,6,41,15,33,62,51,184,8,3,2005
201953,940,80,4,3,13,173,2,47,37,30,49,33,150,6.5,2,2016
307500,940,32,3,0,7,86,3,26,10,35,69,80,155,9,3,2005
551400,949,180,14,37,34,104,13,72,68,36,25,75,445,8,3,2007
435000,950,193,10,37,27,133,10,74,86,29,15,82,371,9,3,2010
230000,951,49,6,6,5,47,5,30,17,39,37,55,209,6,3,2012
367000,951,160,8,24,23,93,10,55,78,34,34,92,331,9,3,2003
509500,954,201,11,40,28,131,10,73,85,36,25,91,381,9,3,2004
275000,959,98,7,7,10,95,4,37,33,33,71,84,229,9,3,2003
279537,969,117,6,17,17,243,11,66,42,32,33,92,278,10,3,2002
499900,970,198,9,38,25,127,11,72,83,36,25,91,360,9,3,2005
315000,980,40,4,4,2,30,4,13,8,35,49,84,295,6.5,2,2013
299900,980,39,5,4,2,31,3,13,9,35,49,84,274,6.5,2,2012
320000,984,78,11,5,15,30,10,54,24,32,43,63,278,5,3,2014
279000,986,20,2,1,2,15,6,14,13,33,57,41,180,7,3,2005
386500,992,73,14,11,9,49,18,48,43,36,23,90,316,6,3,2011
270000,998,40,3,1,7,129,3,29,10,35,69,80,204,9,3,2005
440000,1000,42,7,6,4,47,16,29,31,39,41,83,347,6,3,2011
475000,1000,177,8,31,23,94,10,61,81,29,11,94,378,9,3,2004
278000,1002,72,1,8,11,75,9,25,30,43,61,86,282,6,3,2008
443000,1005,175,8,31,23,94,10,60,80,29,11,94,378,9,3,2013
290000,1012,12,2,1,3,15,3,12,10,39,33,74,245,5,3,2013
458900,1025,102,8,8,11,103,4,47,34,31,30,99,376,8,3,2005
615000,1027,198,9,38,25,126,12,72,84,29,15,82,453,9,3,2015
225000,1038,82,5,8,8,45,6,50,13,30,46,36,184,7,3,2008
525000,1040,185,8,31,32,284,33,172,78,38,56,55,462,2,3,2005
315000,1040,80,7,7,7,42,6,41,15,33,62,51,196,8,3,2006
490000,1041,147,10,28,24,57,5,36,28,34,29,88,367,6,3,2013
243000,1044,99,23,17,15,90,7,51,30,34,56,25,172,4,3,2007
250000,1044,18,2,1,6,19,1,7,4,39,72,62,204,8,3,2007
289500,1045,25,3,2,0,18,4,13,19,33,35,83,253,5,3,2012
249950,1048,149,7,22,20,83,10,50,73,37,20,75,158,9,3,1996
250000,1050,23,3,1,0,13,4,14,17,33,35,83,245,5,3,2014
345000,1053,12,2,1,3,14,3,10,10,39,33,74,245,5,3,2005
351500,1056,49,4,9,2,21,20,29,42,30,34,70,284,6,3,2010
478089,1069,31,5,4,4,33,0,37,11,35,50,82,303,8,3,2005
349181,1070,49,3,2,9,149,4,36,11,33,36,56,204,9,3,2005
300000,1074,31,5,4,4,33,0,37,11,35,50,82,301,8,3,2008
218000,1075,0,0,0,0,3,0,1,1,41,69,77,191,9,3,2013
416900,1075,99,8,8,11,103,4,47,34,31,30,99,373,8,3,2006
335000,1077,128,6,15,21,255,11,75,47,43,64,72,277,10,3,2007
225000,1080,67,6,3,8,31,3,35,18,31,74,59,241,8,3,2011
316500,1082,117,11,10,15,103,13,58,44,52,42,63,282,7,3,2010
535150,1084,189,15,39,27,104,11,75,76,28,63,67,432,8,3,2007
405000,1086,48,3,9,2,21,20,30,42,30,34,70,298,6,3,2014
620000,1088,197,15,40,33,107,12,76,69,30,26,88,525,8,3,2007
545000,1095,173,12,31,35,124,13,48,68,44,44,86,432,8,3,2006
342500,1098,90,8,6,9,48,5,47,16,33,57,74,263,8,3,2006
209000,1100,44,15,1,4,51,3,20,5,37,62,55,188,4,3,2012
243000,1100,44,16,1,4,56,3,21,6,37,62,55,204,4,3,2007
254000,1102,63,5,5,6,36,4,40,15,30,50,45,245,6,3,2012
240000,1104,70,9,4,6,162,4,42,23,34,48,62,239,9,3,2009
265000,1107,50,5,2,5,21,0,18,12,31,62,32,258,8,3,2012
240000,1108,62,15,4,5,83,3,15,11,43,73,41,327,3,3,2002
250000,1112,67,3,11,13,113,3,28,15,41,22,75,228,8,3,2010
534625,1112,193,14,42,28,114,11,93,89,33,40,96,666,5,3,2006
313500,1120,44,16,1,4,56,3,21,6,37,62,55,204,4,3,2006
469900,1123,147,10,28,24,57,5,36,28,34,29,88,352,6,3,2015
610000,1128,198,9,38,26,127,11,72,83,36,25,91,457,9,3,2013
285000,1130,49,6,6,4,44,4,18,14,36,39,84,254,6.5,2,2014
296000,1130,53,7,6,5,49,6,31,17,44,71,63,258,6,3,2013
293815,1130,51,6,6,5,47,5,32,17,44,71,63,245,6,3,2010
290000,1132,167,7,23,29,340,12,113,51,43,64,72,335,10,3,2015
278000,1134,19,3,1,5,13,3,11,13,43,22,67,274,7,3,2010
380000,1135,70,9,7,2,27,19,33,42,33,29,81,266,4.5,4,2011
367500,1135,73,8,8,3,26,19,32,42,33,29,81,288,4.5,4,2012
325000,1139,104,8,8,12,72,4,31,24,33,48,85,327,4,3,2008
280000,1141,58,5,4,7,79,5,85,25,47,41,78,327,9,3,2003
289900,1145,58,3,4,11,166,6,36,9,32,69,70,245,7,3,2006
290000,1148,82,8,5,8,89,4,26,32,33,71,84,265,9,3,2003
306755,1149,64,3,10,15,164,3,39,13,36,47,83,319,8,3,2003
295000,1150,87,5,11,18,215,5,42,20,41,22,75,241,8,3,2004
338000,1150,65,8,6,7,51,6,33,35,33,16,72,230,4,3,2008
305000,1152,35,3,3,1,20,4,11,19,33,35,83,268,5,3,2013
342900,1152,65,8,6,7,51,6,33,35,33,16,72,234,4,3,2006
410000,1153,160,8,24,23,93,10,55,78,34,34,92,352,9,3,2006
377400,1155,49,6,4,5,33,1,17,25,27,38,35,307,5,3,2013
394000,1158,71,13,5,13,31,12,48,28,32,43,63,375,5,3,2013
370000,1161,76,3,8,12,79,9,36,34,56,25,67,368,7,3,2012
326979,1163,65,8,6,7,51,6,33,35,33,16,72,223,4,3,2011
285000,1166,105,15,6,13,87,2,26,14,39,73,69,200,3,3,2005
245000,1170,98,18,18,18,93,8,49,20,52,33,53,213,3,3,2009
315000,1170,39,6,3,3,37,6,27,15,40,51,72,237,6,3,2004
255000,1170,40,6,3,3,37,5,26,15,40,51,72,249,6,3,2010
221500,1178,174,8,31,30,269,28,164,71,34,44,42,481,4,3,2000
275250,1181,67,8,3,7,121,6,42,22,34,58,76,270,7,3,2003
335000,1184,86,8,6,8,47,5,43,16,33,57,74,233,8,3,2006
535000,1184,198,9,38,26,127,11,72,83,36,25,91,453,9,3,2012
209480,1188,24,6,4,7,29,1,19,11,31,57,95,302,8,3,2001
230000,1193,0,0,0,0,0,0,2,3,34,67,61,252,8.5,2,2015
245000,1195,62,10,5,7,24,5,50,12,56,24,66,254,5,3,2012
254900,1195,19,2,0,1,4,1,15,14,33,53,74,290,8.5,2,2004
400000,1200,93,10,13,6,39,7,37,31,41,57,50,453,7,3,2010
550000,1200,141,6,26,26,244,25,139,50,38,29,90,503,4,3,2013
399500,1200,38,8,5,4,51,10,30,28,31,58,93,322,4,3,2012
242000,1200,65,15,2,6,51,1,51,25,40,68,63,258,5,3,2010
236511,1200,19,2,0,1,5,2,15,16,33,53,74,276,8.5,2,2004
385000,1201,75,11,10,8,91,5,53,40,45,60,71,407,9,3,2011
229500,1202,119,10,26,25,183,13,70,36,57,13,83,288,6,3,2002
387000,1204,41,5,3,4,46,2,31,16,40,64,77,379,10,3,2012
295000,1205,44,5,4,7,46,3,32,13,31,61,38,218,4,3,2005
460000,1205,146,7,22,20,79,10,49,73,27,21,94,356,9,3,2010
450000,1206,182,10,31,25,103,10,63,83,33,21,99,388,9,3,2006
346631,1215,114,9,10,16,101,10,60,41,32,32,88,409,7,3,2005
380000,1217,96,6,11,15,98,14,48,40,52,42,63,441,7,3,2011
279000,1218,24,6,4,7,29,1,19,11,31,57,95,327,8,3,2003
250000,1220,16,1,1,3,5,0,12,4,37,47,58,192,7,2,2004
203255,1224,15,2,0,1,49,0,5,15,37,61,56,368,5,3,1999
295990,1230,35,2,6,5,36,0,11,6,36,61,64,254,7,3,2004
526275,1242,198,9,38,26,127,11,72,83,36,25,91,445,9,3,2008
295000,1242,71,13,5,13,31,12,48,28,32,43,63,348,5,3,2011
230000,1244,44,15,1,4,56,3,21,6,37,62,55,201,4,3,2011
617000,1248,198,9,38,25,126,12,72,84,29,15,82,540,9,3,2010
485000,1252,54,8,6,3,48,16,37,44,33,35,72,439,6,3,2007
295000,1253,33,3,6,4,53,2,32,8,32,52,48,193,4,3,2005
345000,1254,79,9,4,9,184,6,49,25,33,66,83,245,7,3,2006
257000,1256,20,2,1,3,17,5,15,13,45,65,76,270,5,3,2011
299000,1263,99,17,18,18,93,8,46,19,44,26,70,262,3,3,2012
320000,1270,30,3,3,1,17,4,13,19,33,35,83,269,5,3,2010
319990,1288,50,1,4,7,163,4,33,12,40,40,74,299,7,3,2011
278000,1293,98,18,18,18,93,8,49,20,52,33,53,262,3,3,2004
381000,1294,82,5,8,10,48,7,78,29,45,46,69,236,7,3,2005
442000,1305,173,12,31,35,124,13,48,68,44,44,86,409,8,3,2011
653000,1305,202,14,43,30,114,11,93,89,33,40,96,540,5,3,2012
550000,1309,149,4,30,23,261,21,114,63,50,34,93,479,2,3,2004
225000,1316,79,17,15,15,69,6,45,27,45,47,54,261,3,3,2012
525000,1320,204,11,40,28,134,10,74,79,36,25,91,414,9,3,2006
289000,1343,95,18,19,18,92,6,49,21,52,33,53,270,3,3,2014
371000,1346,101,9,7,18,100,5,37,31,32,34,50,368,4,3,2009
250000,1348,2,0,0,2,1,0,0,5,41,70,65,245,3,3,2012
330000,1350,39,4,2,5,18,2,23,12,36,66,73,274,8,3,2013
318500,1356,12,2,0,0,5,2,8,7,34,88,36,242,8,2,2006
267000,1360,4,1,2,0,11,1,8,1,44,77,56,237,9,3,2010
250000,1360,13,6,0,3,22,0,3,6,42,66,56,268,3,3,2011
578324,1376,54,8,6,3,48,16,37,44,33,35,72,460,6,3,2006
385000,1383,65,12,12,8,39,18,44,45,33,35,87,311,6,3,2012
210835,1388,56,7,9,6,67,6,40,41,36,36,90,347,9,3,1995
274500,1389,88,17,18,18,88,6,47,25,59,54,57,242,3,3,2012
254900,1392,23,3,1,5,12,3,13,13,43,22,67,220,7,3,2009
275000,1400,137,6,23,25,180,19,126,73,37,40,70,450,2,3,2010
290000,1413,82,16,16,17,73,6,46,25,59,54,57,233,3,3,2004
505000,1420,173,12,31,35,124,13,48,68,44,44,86,504,8,3,2003
299000,1439,95,18,19,18,92,6,49,21,52,33,53,270,3,3,2013
271000,1470,35,5,4,5,24,3,21,16,34,36,86,245,8,3,2012
490000,1471,179,9,32,31,273,31,169,72,43,47,74,464,4,3,2009
325000,1474,4,2,0,0,1,1,1,9,41,71,58,289,4,3,2013
412000,1476,47,6,6,4,43,4,18,13,34,76,73,389,6.5,2,2012
329900,1477,22,3,4,6,49,0,24,7,64,46,59,299,7,3,2004
281975,1480,26,1,3,0,18,0,8,7,32,78,45,240,3,3,2007
215000,1496,12,10,1,0,23,0,22,6,32,58,28,233,3,3,2012
589000,1516,193,7,34,38,194,11,61,33,45,32,79,380,6,3,2005
405490,1522,52,8,1,3,43,0,25,16,42,65,65,315,5,3,2007
475000,1526,64,8,13,6,27,12,30,26,32,20,73,360,7,3,2005
375000,1530,115,9,23,25,182,11,62,32,57,13,83,360,6,3,2003
455000,1530,43,3,5,4,39,8,30,22,33,60,82,374,9,3,2006
429900,1623,51,8,6,2,40,18,33,40,36,49,77,370,6,3,2014
465000,1638,11,2,0,2,13,1,5,7,40,69,84,389,5,3,2013
471850,1640,41,6,1,3,39,0,20,16,42,65,65,319,5,3,2005
337980,1641,83,5,9,12,85,11,48,35,56,25,67,578,7,3,2001
625000,1649,63,7,10,8,57,10,43,46,45,80,75,525,4,3,2005
462604,1684,0,0,0,0,3,0,0,3,32,67,46,249,5,3,2005
395000,1750,41,8,4,5,23,0,21,10,38,63,46,401,5,3,2005
575000,1825,79,12,10,8,93,5,56,39,33,55,71,632,9,3,2012
289000,1870,7,1,1,0,4,0,5,5,36,70,39,308,8,1,2012
740000,2100,193,7,34,38,194,11,61,33,45,32,79,720,6,3,2009
540000,2310,174,6,27,32,234,29,175,80,35,57,79,477,4,3,2011
225000,2512,38,6,2,4,37,3,14,15,40,52,52,442,5,3,1999
601987,2690,7,2,1,1,5,0,3,4,36,66,79,513,6,3,2005
250000,1160,41,2,2,3,37,5,22,23,38,64,52,286,3,3,2013
330000,1200,4,0,2,1,8,0,2,1,34,75,65,270,8,3,2007
302000,1260,4,2,0,0,2,1,1,9,41,71,58,282,4,3,2013
557000,1296,54,9,7,4,53,16,36,41,34,44,90,442,6,3,2008
408000,1314,21,3,0,5,40,3,19,9,35,69,80,274,9,3,2006
495000,1600,183,8,31,32,282,31,172,77,42,61,86,500,2,3,2009
416000,1667,21,4,1,3,17,5,15,13,45,65,76,340,5,3,2006
538000,1820,192,8,32,33,291,33,177,79,31,34,78,465,2,3,2014
335000,1853,163,8,30,27,273,25,139,68,55,55,91,714,2,3,1995
395000,1925,41,8,4,5,23,0,21,10,38,63,46,393,5,3,2005
299940,1942,14,3,1,0,5,0,13,2,29,82,44,229,4.5,2,2008
300000,2067,21,3,1,3,17,2,13,8,42,55,72,348,7,3,2009
399500,2180,68,15,16,16,59,7,39,21,52,65,82,322,2,3,2010
300000,1377,18,0,1,2,27,0,9,5,35,76,48,327,3,3,2016
370000,874,111,12,8,14,91,2,31,12,42,81,76,343,4,3,2015
200000,876,24,6,0,5,24,4,17,22,40,85,25,286,5,3,2015
455000,884,106,7,15,21,239,5,58,23,29,75,45,392,8,3,2005
285000,943,8,1,0,3,9,2,10,9,35,29,73,223,4,3,2009
433150,948,29,3,3,2,24,1,15,4,44,72,42,286,4,3,2005
225000,1008,41,6,3,2,33,1,19,3,33,81,19,329,3,3,2015
297000,1024,85,9,19,18,65,9,35,44,32,48,47,278,4,3,2012
204000,1102,47,7,2,3,34,3,32,28,29,48,29,247,3,3,2008
209400,1120,36,2,1,6,22,8,18,21,28,80,22,258,5,3,2011
306000,1140,63,5,5,6,35,4,40,14,30,50,45,225,6,3,2006
375000,1204,4,1,0,0,12,1,3,6,39,83,43,340,6,3,2015
397555,1210,31,4,3,4,24,2,20,15,37,50,63,307,8,3,2005
325000,1211,97,15,12,6,118,3,52,13,30,88,40,336,3,3,2011
375000,1220,18,2,0,3,19,3,9,12,39,64,81,307,6,3,2006
523000,1220,63,3,5,4,34,4,29,8,34,76,54,225,8,3,2016
274500,1224,80,12,6,16,38,10,52,22,32,43,63,303,5,3,2010
368000,1260,4,2,1,0,9,2,2,1,43,84,70,395,6,3,2015
330000,1280,20,2,1,3,16,6,15,14,33,57,41,238,7,3,2005
300000,1280,98,13,9,11,99,6,56,31,40,68,63,274,5,3,2010
275000,1280,51,10,4,4,85,4,33,9,35,52,42,167,4,3,2005
340000,1280,69,14,2,8,56,1,50,25,40,68,63,274,5,3,2005
497650,1286,47,9,2,4,45,4,30,31,40,54,80,540,9,3,2004
